sentence,label
"Hi, I'm Carmen Lynne with Expert Village and I'm going to be talking to you today about handwriting analysis, or the posh word for that is graphology.",2
"What handwriting analysis is, it's the study of what you do when you are writing in cursive script.",0
Many investors ask what is the safest investment out there and many people think that a money market fund could possibly be the safest investment available.,0
,2
,2
"Honestly, I don't care I would wear this as opposed to a purse where like my shoulders fawn over",2
I'm gonna put the water bottle oh This has more food,0
,1
You know that was you a little part That's pretty good,1
Liz Wahl: Last night RT made international headlines when one of our anchors went on the record and said the Russian intervention in Crimea is wrong.,1
"And, indeed, as a reporter on this network, I face many ethical and moral challenges - especially me personally - coming from a family whose grandparents came here as refugees during the Hungarian revolution, ironically, to escape the Soviet forces.",-2
"I have family on my opposite side, on my mother's side, that sees the daily grind of poverty, and I'm very lucky to have grown up here in the United States.",-1
I'm the daughter of a veteran.,-1
FEMALE NARRATOR: A Title: Explanations,0
,-1
DEE: When he was about eight,0
,-1
"We had always, our vacations consisted of going to grandpa and grandma's But when he was eight we were taking him to the Gulf of Mexico and to a whole brand new place that he never been before",1
"And the first afternoon he got in the car, he was hunky dory - travel, travel, travel",2
Three hours into the ride he starts getting fussy,0
Then we get out,1
We eat some dinner and he absolutely refuses to get back in the car,0
"And there is no way I'm going to physically makes this little boy, who is about the size of a five-year-old, get back in that car",1
"Until I stopped and I said, ""I don't know what's going on man",1
""" And he didn't really have a communication system to communicate with us, other than his behavior at that moment in time",0
"And I finally just looked said, ""Look Jake, here's what we're doing",1
""" And I went through and explain the best I could with what I had right there - that we're going to drive, then we're gonna stay in hotel, and we're gonna sleep and then we're going to get up and we're gonna drive some more and they were going to go see new things",1
And he hopped right in that seat for me and let me buckle him in,1
"And that to me was like, oh my gosh, I really need to take time to explain everything we're doing, why we're doing it before we leave the house",1
My other two children just got it,1
"If I said, ""Hey, we're gonna go do this",1
""" They just got it",-1
But Jake didn't hear and process and see that we had bags packs in the living room for days before we got on that trip and went to you know the Gulf of Mexico,0
The other two started asking questions,-1
"""Hey, what's up with all the suit cases?"" When we would sit down at dinner we talk about, ok, first we are going to pray, then we are going to eat, then this is what we are going to do after dinner to to help him have the vision of, that there is a structure to our day, that there are things that we've gotta take care of that involve all of us",0
All those things add up to the fact that we’re not getting as much sunshine so we’re not getting as much natural vitamin D produce in our bodies so this is the good time of year to either start supplementing with vitamin D or to increase your vitamin D supplement,1
The RDA was recently increase by the US government from 400 IU to 600 IU and a lot of health experts still think that that’s pretty low,0
It’s the amount that you need to prevent a severe deficiency but it might not be enough for optimum health levels,1
And vitamin D is really really closely related with the hormone system with your body,1
"Hi, it's Alex!",-1
"Today I want to talk about how to respond to people who are telling you that something that you want, something you want to do or achieve is impossible.",2
"In the past, I talked about how believing that something is not possible can actually hinder your ability to make it happen.",-1
"I shared a story, which you can watch in the previous video if you haven't.",1
"This one, though, I want to focus on talking to other people, so say you have some sort of goal, idea, or dream, something that you want to bring into the world, and let's say you're talking to someone about it.",2
"And, you're like: ""Hey,"" like, ""I really want to see this happen!"" And the other person says: ""Oh, that's never going to happen."" This is the kind of thing that I actually have happen a lot, because I'm pretty idealistic, and I'm pretty talkative and open about the goals that I have for what I want to bring into being in the world.",2
"And I frequently hear people respond to me by saying: ""Oh, that's never going to happen,"" or like, sometimes they'll be sort of sarcastic, or joke about it like: ""Pffsh, good luck with that."" You know, sort of, blowing me off.",1
"And for years, I kind of, would just get frustrated when people would react in this way.",-1
But I had this breakthrough.,-2
"It was like, I think it may have even been last year, it was very recently.",-2
"I was in a bakery, and I was talking to one of the employees in the bakery who I really like, and, I can't even remember what I was talking about, but I was like: ""Hey,"" like ""I really want to see this kind of thing happen."" And the person said something like: ""Oh, well that's never going to happen."" And I don't know what inspired me in the moment, but I called them out in a very specific way, I said: ""I don't agree that it's not going to happen."" ""I think it's possible, and furthermore,"" ""I think that the belief that it's not going to happen"" ""is part of the mentality that's holding us back"" ""from making it happen."" I kind of was like: ""Wow, that actually came out of my mouth."" But I said that, and the other person was just like, it just stopped them, and their whole face changed.",1
"I was looking into upgrading my kitchen with Corian or granite countertops, but the prices are more amazing than the countertops.",0
What is the best alternative to granite countertops?,1
"If you are willing to have a mosaic countertop, with fitted seams or pieces held together with grout and glue, you could have a granite countertop.",0
Why do you recommend that?,0
The cost of a granite countertop is proportional to the size of granite.,0
"If you can use recycled or broken granite pieces to make your counters, the price of the project goes down.",1
"and seeing them change just seeing how it touches every aspect of their lives in hearing from their parents ""my kids says the R sound and the S sound and he's so much more confident he's talking more he's reading more he's doing more things"" and it's like it's amazing to hear and it's a great feeling to have",1
I'm actually a speech pathologist i graduated from baylor university with my bachelor's degree from the older clinic setting and been practicing for about 15 years,2
"Had I had the opportunity to have gone on and worked at this setting and got my master's degree, it would have been an opportunity for not only me but for others to expand our knowledge",2
"If you find yourself with an upset stomach or any stomach pains, there are a few things that you can do to help relieve an upset stomach.",-1
"I'm Dan Carlson, I'm a nurse.",0
"JOHN GERZEMA: Well, one of the things that we see in our data that consumers are looking for in their brands that's fundamentally different from last year is a strong emphasis on integrity.",0
"So a brand with integrity means that it will deliver on its promises, that it will deliver real value for the customer.",1
Now just mix the caramel with the popcorn in really well,2
"Once it's all mixed in, you are going to pop it into the oven for 45 minutes and stir it every 15 minutes",0
"While that's baking in the oven, let's make our s'mores dip",1
"This is a super simple, but yummy treat",2
So basically all you have to do is pour in a few chocolate chips into a little pan and then all you have to do is add some marshmallows on top of that and put it in the oven,2
"So you want to make sure to preheat your oven to 450 degrees, then you can stick in your cute, little treats and let them sit in there for 7-9 minutes",2
"I think what’s happening with advertisers and kind of melding entertainment with participatory experiences is that they want consumers to not just hear about something and then remember it at a later point in time, they want them to actively participate in the message when it’s being sent.",1
"Anyone who is serious about their relationship with Jesus Christ, has to keep separate from ungodly people.",-2
Most Christians are NOT doing this.,-2
They associate with wicked people.,1
They have fellowship with ungodly people as if righteousness and unrighteousness could hold hands and have a party.,-2
We've got some DECA reminders for you! It's that time of the year again,2
,2
"On Friday, October 26th, we're going to be watching Muppet's Most Wanted",1
Tickets are going to be just $1 and we are going on that Friday lunch and at the door,2
"Now remember, we will be selling donuts on Friday in the morning as well as Frappuchinos",1
"WRLC is going to be November 13-16th in Anaheim, California",3
"This is going to be our very first conference, and we will have tons of leadership training and fun",3
You don't want to miss that,1
"DECA members, don't forget that membership fee",3
"If you've ever had a cold, you'll notice that more mucous is produced in your throat and in your nose even.",0
Why is mucous produced when you have a cold?,0
"because I was very excited and very proud of it at the time and I still of course am but when people would ask me, ""What do you do",3
""" and I say, ""I'm a Youtuber,"" and they'd say, ""Oh, really",0
,1
""" I'd say, ""Charisma On Command,"" and they'd say, ""Oh, cool,"" and I go, ""Yup, it is cool",1
,1
And that was because I wanted my success to speak for me,1
BOB FRIEDMAN: The question of advertising and how it is relevant and how it's used is changing very radically.,-1
I'm not even so sure that the name advertising is really not today a misnomer.,-1
Hey Expo,1
(umm) Have you ever seen this movie shaggy dog? (uhh) Walt Disney (uhh) it's (uhh) okay this movie,0
(umm) I saw it at the movie theater at the dollar theater luckily because I wasn't very impressed by it,-2
"I mean you know Tim Allen is pretty funny in it but the movie itself is so cheesy like it's just it's just (stutter) really cheesy and it says it's going to be a ruff day, get it? Ruff day",-2
(umm) Like Tim Allen turns into this shaggy dog like he literally turns into this dog,0
"He starts acting like a dog and it's just like, what? What are you doing? It's just really cheesy but, kids, you know, laugh over it and think it's really funny but, you know as an adult, it'd probably put you to sleep so if you are looking on to stay up with your kids like, don't run it because or don't buy it because it's much like dogs laugh",-2
but it's just kinda cheesy so I'm going to just give it two out of five star rating a two so you know take that into consideration,-2
I'm going to do a movie review on Pirates of the Caribbean: At World's End,0
"(umm) This movie is currently still playing in the theaters, and (umm) I just recently watched it",1
"(umm) I waited a while for (uhh) everybody to you know, because people wanted to see it as soon as it came out",-2
"I waited a while for it to die down before I went and saw it because I figured (uhh) since this is the the (stutter) the third installment you know, usually it comes into third movies, which, (umm) I've already done reviews on some third installment movies and, and they kind of sometimes lack",-2
But when it comes to Pirates of the Caribbean the second one I didn't like,0
The first one I liked a lot,1
"The second movie kind of died off for me the way they, they killed Jack Sparrow",1
"And this movie starring the same characters, (uhh) (uhh) and Johnny Depp, (umm) Orlando Bloom and (uhh) Keira Knightley I believe (umm) for the names of the actors",-1
"(umm) It's a long movie, it's like two and a half hours maybe almost two to forty-five minutes",-1
So and it has a lot of action in the movie,-2
"It (stutter) did kind of almost too much action, it, I think it numbs you after a while because it's got so much going on",0
"And (umm) you know, the the (stutter) kind of back and forth plot goes here, it goes there goes all over the place, there's a lot of things going on so if you're not paying attention you're gonna kind of, kind of get lost in it",-2
And so,-1
"But the, (stutter) but you know they did pretty good on the graphics",-1
(umm) The CG is great,-1
"And (umm) the story's, you know, it, it keeps you out, oh I kind of wish they would of, of (stutter) maybe split this movie up or shortened it or something",-2
"Because this it's just, it's (stutter) almost just too much",1
"They try to cram everything all in at once and it, it just didn't it just didn't (stutter) cut it for me",-2
"(umm) There's some parts I liked, some parts I didn't, so if I was to grade it I'd probably give it a C plus",0
(umm) I know the critics didn't give it a very good grade,-1
But you know,1
"Hi, My name is Nalin and I will be reviewing for you Stephen King's IT",1
So I'll take a closer look,0
So this is a movie about the (uhh) a clown basically as you can see on the DVD cover right here and (umm) this clown is (uhh) out to get children and (uhh) that that (stutter) is the basic plot of this movie and this movie starts out,0
"I'm not even sure whether this is a movie or what but (uhh) this movie starts out in a town, in a small town and (uhh) it shows this clown that's been (uhh) really wicked clown and (umm) he takes under from farms and seven kids get together in (stutter) their childhood and (umm) then they want to reunite because this clown is bad",0
"So the basic thing about (uhh) naming this thing IT, the movie, is that the clown, they named the clown as IT",0
"I'll be reviewing (uhh) the movie Spider-Man Three which is currently in the theaters, which is the third and looked like the final, you know, these the Spider-Man trilogy but there might be more made with different actors or even a different director, it's hard to say",0
"And you know I was pretty, I was looking forward to this movie you know quite a bit",1
"(umm) You know I was a big fan of the first so that they were done pretty well, you know, with Sam Raimi directing it's pretty much, you know, the perfect choice, you know, for the, for the (stutter) movies in that, you know, he didn't take them too seriously, you know he knew how to joke around with the makeup, kind of, you know, goofy and kind of like booky and that kind of thing and it really worked for the (uhh) first two",-3
"I mean they always had good villains with like Alfred Molina playing (umm) Doctor Octopus and, you know, (umm) that kind of thing",-2
(umm) But for some reason the third one really fell apart,-2
"(uhh) They had too many villains and it was just really hokey and it felt like they were just trying to do way, I mean, really it felt like it was two movies they tried to cram into one and (uhh) they didn't give enough time to relay anything",-1
"(uhh) I mean Peter Parker's character, you know, was (uhh) even, you know, when controlled by the symbiote (umm) it's just (uhh) it's just kind of a big mess",1
I just really left the theater feeling just kind of (uhh),1
"And the more and more I thought about it, the more and more I just really hated the movie",-3
"It's just, it's a bad movie (uhh), you know? With bad characterizations",-2
"The acting surprisingly enough was actually worse than the first two which is really saying something, you know, it's probably the definitely the weakest point of the first two movies",-1
"And (umm) it's just a big puddle of, you know, mess",-2
"Even the action sequences aren't as good as (uhh) the first and the second one so I gotta say it purp (stutter), I will, don't know if I say it ruined the trilogy",-3
"Well, it ruined the trilogy, I don't know if it ruined the first two movies for me",-3
"Hi, I am doing my video premium for Wolf's Rain - Recollections",1
This is the fourth DVD in the series i'm xxx but completely unnecessary,-1
It contains four episodes and each episode is it focuses on one of the four main characters retelling what's happen so far in the story from their perspectives,0
"The (uhh) video, the animation in the episode most of like most like (stutter) almost all if not all is rehashed in this animation is just (uhh) taken out from the previous episodes so they didn't even make the original animations because they are retelling the story that's already happened so they are just reusing all that animation",-1
The audio is new but it doesn't tell you very much,-1
It's just (uhh) pretty obvious stuff you know,0
They're basically saying this happened and this happened,-1
It seems like they made this DVD just to fill a gap (uhh) during the time where they couldn't make new episodes I guess I don't know but it's (uhh) pretty upsetting but this DVD costs the same price as all the other DVDs in this series when it has nothing new,-1
"So, if you're a die hard fan and you wanna xxx and if you just want to watch everything in Wolf's Rain Wolf's Rain (stutter) (uhh) then you can get it but I wouldn't recommend it",-2
